Country ,Year,GDP,Inflation,Exchange Rate,Money Supply,Unemployment,FDI
Philippines,2016,3.19E+11,1.280311738,47.49246386,74.05651792,2.7,-5882813657
Singapore,2016,3.19E+11,0.469483247,1.381546364,127.5285323,4.08,-25861166111
Thailand,2016,4.13E+11,2.63616762,35.29638333,125.3963428,0.69,9906454565
Viet Nam,2016,2.57E+11,1.819535928,21935.00083,104.580456,1.85,-11600000000
China,2016,1.12E+13,1.407346027,6.644477829,207.6737579,4.56,41674876170
Japan,2016,5.00E+12,0.419944376,108.7929,239.5913144,3.13,1.38E+11
"Korea, Rep.",2016,1.50E+12,1.986038505,1160.7675,138.2977531,3.65,17785200000
India,2016,2.29E+12,3.237974953,67.19531281,74.54926535,7.808,-39411278940
Uzbekistan,2016,86138288633,8.930368491,2965.253499,20.4467509,5.16,-1657069191
Qatar,2016,1.52E+11,-8.976699058,3.64,90.08567786,0.15,7128021978
United States,2016,1.87E+13,1.00223548,1,89.99016908,4.87,-1.75E+11
United Kingdom,2016,2.69E+12,1.964798274,0.740634464,140.2754507,4.81,-2.92E+11
France,2016,2.47E+12,0.522559343,2450.739405,98.65127796,10.06,41841316017
Russian Federation,2016,1.28E+12,2.844222698,67.05593333,59.44582853,5.56,-10224570000
Germany,2016,3.47E+12,1.327752223,2450.739405,98.65127796,4.12,47174192459
Australia,2016,1.21E+12,-0.655771897,1.345213976,118.2423153,5.71,-46078869964
Hungary,2016,1.29E+11,1.320471995,281.5233333,58.73423861,5.11,-2983727247
Ireland,2016,2.99E+11,0.583849083,2450.739405,98.65127796,8.37,-9219282218
Brunei Darussalam,2017,12128183904,4.953690289,1.380891164,86.68518694,9.32,-467927550.3
Cambodia,2017,22177200588,3.341042158,4050.579986,88.1764707,0.14,-2673226255
Timor-Leste,2017,1598208400,-0.151690878,1,51.48865442,4.191,-6715937.467
Indonesia,2017,1.02E+12,4.292678122,13380.83388,39.87663393,3.78,-18502038861
Lao PDR,2017,17071162084,1.852096761,8244.843189,98.65127796,3.27,-1683379973
Malaysia,2017,3.19E+11,3.778960943,4.300440878,122.5342056,3.41,-3760088630
Myanmar,2017,66055090634,5.873408947,1360.358707,53.31036763,1.36,-4804272487
Philippines,2017,3.28E+11,2.320259947,50.40371979,75.41772137,2.55,-6951710900
Singapore,2017,3.43E+11,2.875152985,1.380925,122.3681377,4.2,-36941108315
Thailand,2017,4.56E+11,1.89994499,33.93981106,124.0447401,0.83,5896855332
Viet Nam,2017,2.81E+11,4.362920148,22370.08667,107.0262351,1.87,-13620000000
China,2017,1.23E+13,4.232681976,6.758755086,201.406398,4.47,-27790987920
Japan,2017,4.93E+12,-0.074349504,112.1661411,244.0197045,2.82,1.55E+11
"Korea, Rep.",2017,1.62E+12,2.222781382,1131.000833,137.841483,3.65,16156500000
India,2017,2.65E+12,3.969257928,65.12156865,74.14418936,7.728,-28875941053
Uzbekistan,2017,62081322740,19.06181471,5113.878946,23.06414787,5.83,-1790139194
Qatar,2017,1.61E+11,7.787569656,3.64,102.8873254,0.14,708791208.8
United States,2017,1.95E+13,1.89961014,1,90.52383067,4.36,28590000000
United Kingdom,2017,2.68E+12,1.856541047,0.776976682,145.286778,4.33,46685075527
France,2017,2.60E+12,0.521577263,2450.739405,98.65127796,9.41,12702511140
Russian Federation,2017,1.57E+12,5.349815088,58.34280119,59.52220741,5.21,8199590000
Germany,2017,3.69E+12,1.503738989,2450.739405,98.65127796,3.75,36124571462
Australia,2017,1.33E+12,3.651232809,1.304758077,116.5335722,5.59,-38193755825
Hungary,2017,1.43E+11,4.029705051,274.4333333,58.36254595,4.16,-2376170201
Ireland,2017,3.37E+11,1.251083468,2450.739405,98.65127796,6.71,-55346188076
