,Country Name,Year,GDP,Inflation,Exchange Rate,Money Supply,Unemployment,FDI
135,Viet Nam,2013,214000000000.0,4.038523638,20933.41667,81.59223551,1.32,-6944000000.0
136,China,2013,9570000000000.0,2.163370027,6.195758346,186.6093794,4.6,-218000000000.0
137,Japan,2013,5210000000000.0,-0.354375054,97.59565828,233.0385103,4.04,145000000000.0
138,"Korea, Rep.",2013,1370000000000.0,1.018543805,1094.9825,127.9831138,2.75,15551200000.0
139,India,2013,1860000000000.0,6.186503982,58.59784542,78.18217173,8.06,-26388082470.0
140,Uzbekistan,2013,73180037911.0,11.98789148,2094.988465,19.174792,4.86,-687255065.2
141,Qatar,2013,199000000000.0,0.767488572,3.64,62.99899154,0.28,8861813187.0
142,United States,2013,16800000000000.0,1.750949779,1.0,88.66008223,7.37,105000000000.0
143,United Kingdom,2013,2780000000000.0,2.117063975,0.639660578,145.1453501,7.52,-8222267228.0
144,France,2013,2810000000000.0,0.778100531,2450.739405212136,98.6512779569836,9.91,-13973846914.0
145,Russian Federation,2013,2290000000000.0,5.320138872,31.83714364,51.20002959,5.46,17287630000.0
146,Germany,2013,3730000000000.0,1.959391683,2450.739405212136,98.6512779569836,5.23,26093621455.0
147,Australia,2013,1580000000000.0,-0.163781511,1.035843097,105.4431243,5.66,-55242404632.0
148,Hungary,2013,136000000000.0,2.82053189,223.695,60.3170279,10.18,-278231951.3
149,Ireland,2013,238000000000.0,1.133260286,2450.739405212136,98.6512779569836,13.73,-21251151864.0
150,Brunei Darussalam,2014,17097802753.0,-1.846457284,1.267040123,67.49857434,6.86,-573906641.3
151,Cambodia,2014,16702610842.0,2.632195879,4037.5,67.37665023,0.69,-1771407708.0
152,Timor-Leste,2014,1447535200.0,-0.728051105,1.0,41.43747583,4.228,-21238824.86
153,Indonesia,2014,891000000000.0,5.443174549,11865.2113,39.48385024,4.05,-14733198283.0
154,Lao PDR,2014,13279248479.0,5.726559182,8042.42157,98.6512779569836,2.123,-860588563.8
155,Malaysia,2014,338000000000.0,2.467466784,3.272859746,137.1023286,2.88,5440442809.0
156,Myanmar,2014,65446196920.0,4.173531359,984.3457476,39.53971476,0.755,-2175015284.0
157,Philippines,2014,297000000000.0,3.053055308,44.3951543,68.57019746,3.6,1014348569.0
158,Singapore,2014,315000000000.0,-0.267270042,1.26705,128.445569,3.74,-16220985754.0
159,Thailand,2014,407000000000.0,1.441465365,32.47983333,127.0495523,0.58,766299562.5
160,Viet Nam,2014,233000000000.0,3.698137968,21148.0,88.09204514,1.26,-8050000000.0
161,China,2014,10500000000000.0,1.031063687,6.143434094,190.8709217,4.63,-145000000000.0
162,Japan,2014,4900000000000.0,1.686294786,105.944781,235.0225227,3.59,118000000000.0
163,"Korea, Rep.",2014,1480000000000.0,0.906896751,1052.84,132.9064959,3.08,18724900000.0
164,India,2014,2040000000000.0,3.331756922,61.02951446,77.89935376,7.976,-22890162761.0
