Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Russian Federation,RUS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-19120290000,6697430000,9448500000,11767160000,-1765140000,17287630000,35050840000,15232100000,-10224570000,8199590000,22592030000,-10051630000,-3631810000,25432780000,26967700000
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3.75E+12,3.41E+12,3.40E+12,3.75E+12,3.53E+12,3.73E+12,3.89E+12,3.36E+12,3.47E+12,3.69E+12,3.97E+12,3.89E+12,3.89E+12,4.28E+12,4.08E+12
Germany,DEU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,
Germany,DEU,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,,,,,,,,,,,,,,,
Germany,DEU,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,0.909330422,1.841891638,0.645275771,1.069483745,1.496488838,1.959391683,1.877939854,1.853678824,1.327752223,1.503738989,2.007492441,2.130309051,1.872585648,3.019638074,5.268325424
Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.52,7.74,6.97,5.82,5.38,5.23,4.98,4.62,4.12,3.75,3.38,3.14,3.86,3.64,3.14
Germany,DEU,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,67071495031,43037329587,60605522285,10373148758,33639173474,26093621455,87919371869,68388393319,47174192459,36124571462,29011101779,98812746280,-5888677179,1.19E+11,1.31E+11
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.06E+12,9.29E+11,1.15E+12,1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.39E+12,1.33E+12,1.56E+12,1.69E+12
Australia,AUS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.192178333,1.28218881,1.090159486,0.969463201,0.965801031,1.035843097,1.109363293,1.331090262,1.345213976,1.304758077,1.338412146,1.438506544,1.453085118,1.33122426,1.441664459
Australia,AUS,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,97.72560394,94.31878775,100.4544988,99.72233734,101.1867787,105.4431243,108.4670802,113.1862782,118.2423153,116.5335722,113.792564,122.7684464,137.1188881,139.0002639,134.2028013
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,4.569822249,4.949160757,1.151858818,6.202098607,1.805164061,-0.163781511,1.404893098,-0.622921249,-0.655771897,3.651232809,1.878810435,3.463722736,2.113825441,3.078774164,7.123075723
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.24,5.57,5.21,5.08,5.23,5.66,6.08,6.06,5.71,5.59,5.3,5.16,6.46,5.12,3.7
Australia,AUS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-13282411774,-17469054204,-17487902843,-57328676980,-51807636530,-55242404632,-40637704364,-38634724990,-46078869964,-38193755825,-59654884661,-29844985008,-8025123712,-20876515984,54258632808
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,1.58E+11,1.31E+11,1.32E+11,1.42E+11,1.29E+11,1.36E+11,1.41E+11,1.25E+11,1.29E+11,1.43E+11,1.61E+11,1.64E+11,1.57E+11,1.82E+11,1.77E+11
Hungary,HUN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,172.1133333,202.3416667,207.9441667,201.055,225.1041667,223.695,232.6016667,279.3325,281.5233333,274.4333333,270.2116667,290.66,307.9966667,303.1408333,372.5958333
Hungary,HUN,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,56.68727165,60.37088689,60.73853125,62.39693201,58.56291305,60.3170279,57.19972533,56.71441984,58.73423861,58.36254595,59.07367602,58.14251473,69.31264924,72.05594721,65.28209871
Hungary,HUN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,4.806138668,4.199064551,2.532570453,1.928720703,2.892761678,2.82053189,3.692726095,2.775741908,1.320471995,4.029705051,4.847425392,4.785025181,6.401668541,6.445097993,14.48927895
Hungary,HUN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.82,10.03,11.17,11.03,11,10.18,7.73,6.81,5.11,4.16,3.71,3.42,4.25,4.05,3.61
Hungary,HUN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1457150599,-972285892.5,-3936697507,-1961626798,-2877531842,-278231951.3,-3819551081,-2890619219,-2983727247,-2376170201,-3531634246,-215796664.1,-2756453067,-3801865480,-3886946396
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,2.75E+11,2.36E+11,2.22E+11,2.39E+11,2.25E+11,2.38E+11,2.60E+11,2.92E+11,2.99E+11,3.37E+11,3.87E+11,3.99E+11,4.29E+11,5.13E+11,5.33E+11
Ireland,IRL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,
Ireland,IRL,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,,,,,,,,,,,,,,,
Ireland,IRL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,-0.504525642,-4.624598155,-2.889836298,1.349718155,2.108272975,1.133260286,0.182007393,8.300141348,0.583849083,1.251083468,1.120032236,3.355411523,-1.23404263,0.477482551,6.582264283
Ireland,IRL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.77,12.61,14.53,15.35,15.45,13.73,11.86,9.91,8.37,6.71,5.74,4.95,5.62,6.19,4.48
Ireland,IRL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,34912564501,540847188.8,-20925416485,-25222409925,-26152981889,-21251151864,-6747671078,-47433558093,-9219282218,-55346188076,27441629241,-97444443422,-1.10E+11,59233776504,35688700620
